Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
KatalonGit,Chrome 63.0.3239.84,,2018-01-05 17:46:48,2018-01-05 17:47:22,33.479s,PASSED
,,,,,,
Test Cases/Test Case1,Chrome 63.0.3239.84,,2018-01-05 17:46:49,2018-01-05 17:47:10,21.596s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-05 17:46:49,2018-01-05 17:47:04,14.704s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-05 17:47:04,2018-01-05 17:47:08,4.136s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 17:47:08,2018-01-05 17:47:09,0.623s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 17:47:09,2018-01-05 17:47:09,0.147s,PASSED
click,Chrome 63.0.3239.84,,2018-01-05 17:47:09,2018-01-05 17:47:10,0.755s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-05 17:47:10,2018-01-05 17:47:10,0.726s,PASSED
,,,,,,
Test Cases/Test Case 2,Chrome 63.0.3239.84,,2018-01-05 17:47:10,2018-01-05 17:47:22,11.359s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-05 17:47:11,2018-01-05 17:47:14,3.567s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-05 17:47:14,2018-01-05 17:47:20,5.401s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 17:47:20,2018-01-05 17:47:20,0.132s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 17:47:20,2018-01-05 17:47:20,0.138s,PASSED
click,Chrome 63.0.3239.84,,2018-01-05 17:47:20,2018-01-05 17:47:20,0.507s,PASSED
selectOptionByValue,Chrome 63.0.3239.84,,2018-01-05 17:47:20,2018-01-05 17:47:21,0.313s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 17:47:21,2018-01-05 17:47:21,0.164s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 17:47:21,2018-01-05 17:47:21,0.146s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 17:47:21,2018-01-05 17:47:21,0.112s,PASSED
click,Chrome 63.0.3239.84,,2018-01-05 17:47:21,2018-01-05 17:47:21,0.071s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-05 17:47:21,2018-01-05 17:47:22,0.620s,PASSED
