Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
KatalonGit,Chrome 63.0.3239.84,,2018-01-05 18:21:29,2018-01-05 18:22:02,33.741s,PASSED
,,,,,,
Test Cases/Test Case1,Chrome 63.0.3239.84,,2018-01-05 18:21:29,2018-01-05 18:21:51,22.241s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-05 18:21:30,2018-01-05 18:21:39,9.533s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-05 18:21:39,2018-01-05 18:21:50,10.274s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 18:21:50,2018-01-05 18:21:50,0.169s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 18:21:50,2018-01-05 18:21:50,0.140s,PASSED
click,Chrome 63.0.3239.84,,2018-01-05 18:21:50,2018-01-05 18:21:50,0.604s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-05 18:21:50,2018-01-05 18:21:51,0.697s,PASSED
,,,,,,
Test Cases/Test Case 2,Chrome 63.0.3239.84,,2018-01-05 18:21:51,2018-01-05 18:22:02,11.075s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-05 18:21:51,2018-01-05 18:21:55,3.998s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-05 18:21:55,2018-01-05 18:22:00,4.867s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 18:22:00,2018-01-05 18:22:00,0.138s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 18:22:00,2018-01-05 18:22:01,0.096s,PASSED
click,Chrome 63.0.3239.84,,2018-01-05 18:22:01,2018-01-05 18:22:01,0.483s,PASSED
selectOptionByValue,Chrome 63.0.3239.84,,2018-01-05 18:22:01,2018-01-05 18:22:01,0.213s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 18:22:01,2018-01-05 18:22:01,0.110s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 18:22:01,2018-01-05 18:22:02,0.108s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 18:22:02,2018-01-05 18:22:02,0.084s,PASSED
click,Chrome 63.0.3239.84,,2018-01-05 18:22:02,2018-01-05 18:22:02,0.056s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-05 18:22:02,2018-01-05 18:22:02,0.612s,PASSED
