Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
KatalonGit2,Firefox 54.0,,2018-01-02 16:26:36,2018-01-02 16:27:12,35.835s,PASSED
,,,,,,
Test Cases/Login/Test Case1,Firefox 54.0,,2018-01-02 16:26:37,2018-01-02 16:26:58,21.043s,PASSED
openBrowser,Firefox 54.0,,2018-01-02 16:26:37,2018-01-02 16:26:54,16.280s,PASSED
navigateToUrl,Firefox 54.0,,2018-01-02 16:26:54,2018-01-02 16:26:56,1.840s,PASSED
setText,Firefox 54.0,,2018-01-02 16:26:56,2018-01-02 16:26:56,0.198s,PASSED
setText,Firefox 54.0,,2018-01-02 16:26:56,2018-01-02 16:26:56,0.685s,PASSED
click,Firefox 54.0,,2018-01-02 16:26:56,2018-01-02 16:26:57,0.705s,PASSED
closeBrowser,Firefox 54.0,,2018-01-02 16:26:57,2018-01-02 16:26:58,0.459s,PASSED
,,,,,,
Test Cases/Test Case 2,Firefox 54.0,,2018-01-02 16:26:58,2018-01-02 16:27:12,14.361s,PASSED
openBrowser,Firefox 54.0,,2018-01-02 16:26:58,2018-01-02 16:27:07,9.616s,PASSED
navigateToUrl,Firefox 54.0,,2018-01-02 16:27:07,2018-01-02 16:27:09,1.783s,PASSED
setText,Firefox 54.0,,2018-01-02 16:27:09,2018-01-02 16:27:09,0.193s,PASSED
setText,Firefox 54.0,,2018-01-02 16:27:09,2018-01-02 16:27:10,0.777s,PASSED
click,Firefox 54.0,,2018-01-02 16:27:10,2018-01-02 16:27:11,0.939s,PASSED
selectOptionByValue,Firefox 54.0,,2018-01-02 16:27:11,2018-01-02 16:27:11,0.335s,PASSED
setText,Firefox 54.0,,2018-01-02 16:27:11,2018-01-02 16:27:12,0.084s,PASSED
setText,Firefox 54.0,,2018-01-02 16:27:12,2018-01-02 16:27:12,0.081s,PASSED
setText,Firefox 54.0,,2018-01-02 16:27:12,2018-01-02 16:27:12,0.086s,PASSED
click,Firefox 54.0,,2018-01-02 16:27:12,2018-01-02 16:27:12,0.084s,PASSED
closeBrowser,Firefox 54.0,,2018-01-02 16:27:12,2018-01-02 16:27:12,0.211s,PASSED
