Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
KatalonGit,Chrome 63.0.3239.84,,2018-01-05 17:51:35,2018-01-05 17:52:00,25.903s,PASSED
,,,,,,
Test Cases/Test Case1,Chrome 63.0.3239.84,,2018-01-05 17:51:35,2018-01-05 17:51:48,13.017s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-05 17:51:36,2018-01-05 17:51:42,5.809s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-05 17:51:42,2018-01-05 17:51:46,4.532s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 17:51:46,2018-01-05 17:51:46,0.139s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 17:51:46,2018-01-05 17:51:47,0.100s,PASSED
click,Chrome 63.0.3239.84,,2018-01-05 17:51:47,2018-01-05 17:51:47,0.502s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-05 17:51:47,2018-01-05 17:51:48,0.956s,PASSED
,,,,,,
Test Cases/Test Case 2,Chrome 63.0.3239.84,,2018-01-05 17:51:48,2018-01-05 17:52:00,12.345s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-05 17:51:48,2018-01-05 17:51:55,6.307s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-05 17:51:55,2018-01-05 17:51:58,3.811s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 17:51:58,2018-01-05 17:51:58,0.109s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 17:51:58,2018-01-05 17:51:59,0.118s,PASSED
click,Chrome 63.0.3239.84,,2018-01-05 17:51:59,2018-01-05 17:51:59,0.511s,PASSED
selectOptionByValue,Chrome 63.0.3239.84,,2018-01-05 17:51:59,2018-01-05 17:51:59,0.254s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 17:51:59,2018-01-05 17:51:59,0.111s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 17:51:59,2018-01-05 17:52:00,0.100s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 17:52:00,2018-01-05 17:52:00,0.095s,PASSED
click,Chrome 63.0.3239.84,,2018-01-05 17:52:00,2018-01-05 17:52:00,0.070s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-05 17:52:00,2018-01-05 17:52:00,0.629s,PASSED
