Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
KatalonGit,Chrome 63.0.3239.84,,2018-01-02 17:25:37,2018-01-02 17:26:18,41.139s,PASSED
,,,,,,
Test Cases/Test Case1,Chrome 63.0.3239.84,,2018-01-02 17:25:38,2018-01-02 17:26:04,26.495s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-02 17:25:39,2018-01-02 17:25:53,14.085s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-02 17:25:53,2018-01-02 17:26:00,7.677s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 17:26:00,2018-01-02 17:26:01,0.215s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 17:26:01,2018-01-02 17:26:01,0.278s,PASSED
click,Chrome 63.0.3239.84,,2018-01-02 17:26:01,2018-01-02 17:26:02,0.992s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-02 17:26:02,2018-01-02 17:26:04,2.423s,PASSED
,,,,,,
Test Cases/Test Case 2,Chrome 63.0.3239.84,,2018-01-02 17:26:04,2018-01-02 17:26:18,14.032s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-02 17:26:05,2018-01-02 17:26:12,7.733s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-02 17:26:12,2018-01-02 17:26:16,3.674s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 17:26:16,2018-01-02 17:26:16,0.130s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 17:26:16,2018-01-02 17:26:16,0.116s,PASSED
click,Chrome 63.0.3239.84,,2018-01-02 17:26:16,2018-01-02 17:26:17,0.463s,PASSED
selectOptionByValue,Chrome 63.0.3239.84,,2018-01-02 17:26:17,2018-01-02 17:26:17,0.358s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 17:26:17,2018-01-02 17:26:17,0.151s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 17:26:17,2018-01-02 17:26:17,0.130s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 17:26:17,2018-01-02 17:26:18,0.143s,PASSED
click,Chrome 63.0.3239.84,,2018-01-02 17:26:18,2018-01-02 17:26:18,0.095s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-02 17:26:18,2018-01-02 17:26:18,0.790s,PASSED
