Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
KatalonGit,Chrome 63.0.3239.84,,2018-01-02 14:31:02,2018-01-02 14:31:21,18.554s,PASSED
,,,,,,
Test Cases/Test Case 2,Chrome 63.0.3239.84,,2018-01-02 14:31:03,2018-01-02 14:31:12,9.691s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-02 14:31:03,2018-01-02 14:31:08,4.523s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-02 14:31:08,2018-01-02 14:31:10,2.518s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 14:31:10,2018-01-02 14:31:10,0.168s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 14:31:10,2018-01-02 14:31:11,0.113s,PASSED
click,Chrome 63.0.3239.84,,2018-01-02 14:31:11,2018-01-02 14:31:11,0.533s,PASSED
selectOptionByValue,Chrome 63.0.3239.84,,2018-01-02 14:31:11,2018-01-02 14:31:11,0.237s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 14:31:11,2018-01-02 14:31:11,0.126s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 14:31:11,2018-01-02 14:31:12,0.107s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 14:31:12,2018-01-02 14:31:12,0.112s,PASSED
click,Chrome 63.0.3239.84,,2018-01-02 14:31:12,2018-01-02 14:31:12,0.070s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-02 14:31:12,2018-01-02 14:31:12,0.647s,PASSED
,,,,,,
Test Cases/Test Case1,Chrome 63.0.3239.84,,2018-01-02 14:31:12,2018-01-02 14:31:21,8.446s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-02 14:31:13,2018-01-02 14:31:16,3.417s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-02 14:31:16,2018-01-02 14:31:19,3.286s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 14:31:19,2018-01-02 14:31:20,0.150s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 14:31:20,2018-01-02 14:31:20,0.109s,PASSED
click,Chrome 63.0.3239.84,,2018-01-02 14:31:20,2018-01-02 14:31:20,0.591s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-02 14:31:20,2018-01-02 14:31:21,0.621s,PASSED
