Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
KatalonGit2,Firefox 54.0,,2018-01-02 16:23:32,2018-01-02 16:24:28,56.036s,PASSED
,,,,,,
Test Cases/Login/Test Case1,Firefox 54.0,,2018-01-02 16:23:33,2018-01-02 16:24:14,40.677s,PASSED
openBrowser,Firefox 54.0,,2018-01-02 16:23:34,2018-01-02 16:24:09,35.330s,PASSED
navigateToUrl,Firefox 54.0,,2018-01-02 16:24:09,2018-01-02 16:24:11,2.036s,PASSED
setText,Firefox 54.0,,2018-01-02 16:24:11,2018-01-02 16:24:11,0.193s,PASSED
setText,Firefox 54.0,,2018-01-02 16:24:11,2018-01-02 16:24:12,0.998s,PASSED
click,Firefox 54.0,,2018-01-02 16:24:12,2018-01-02 16:24:13,0.838s,PASSED
closeBrowser,Firefox 54.0,,2018-01-02 16:24:13,2018-01-02 16:24:14,0.415s,PASSED
,,,,,,
Test Cases/Test Case 2,Firefox 54.0,,2018-01-02 16:24:14,2018-01-02 16:24:28,14.515s,PASSED
openBrowser,Firefox 54.0,,2018-01-02 16:24:14,2018-01-02 16:24:24,9.355s,PASSED
navigateToUrl,Firefox 54.0,,2018-01-02 16:24:24,2018-01-02 16:24:26,2.043s,PASSED
setText,Firefox 54.0,,2018-01-02 16:24:26,2018-01-02 16:24:26,0.192s,PASSED
setText,Firefox 54.0,,2018-01-02 16:24:26,2018-01-02 16:24:27,0.846s,PASSED
click,Firefox 54.0,,2018-01-02 16:24:27,2018-01-02 16:24:27,0.798s,PASSED
selectOptionByValue,Firefox 54.0,,2018-01-02 16:24:27,2018-01-02 16:24:28,0.290s,PASSED
setText,Firefox 54.0,,2018-01-02 16:24:28,2018-01-02 16:24:28,0.079s,PASSED
setText,Firefox 54.0,,2018-01-02 16:24:28,2018-01-02 16:24:28,0.074s,PASSED
setText,Firefox 54.0,,2018-01-02 16:24:28,2018-01-02 16:24:28,0.076s,PASSED
click,Firefox 54.0,,2018-01-02 16:24:28,2018-01-02 16:24:28,0.091s,PASSED
closeBrowser,Firefox 54.0,,2018-01-02 16:24:28,2018-01-02 16:24:28,0.276s,PASSED
