Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
KatalonGit,Chrome 63.0.3239.84,,2018-01-05 18:36:32,2018-01-05 18:36:53,21.613s,FAILED
,,,,,,
Test Cases/Test Case1,Chrome 63.0.3239.84,,2018-01-05 18:36:32,2018-01-05 18:36:44,11.441s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-05 18:36:33,2018-01-05 18:36:38,5.818s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-05 18:36:38,2018-01-05 18:36:42,3.249s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 18:36:42,2018-01-05 18:36:42,0.166s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 18:36:42,2018-01-05 18:36:42,0.166s,PASSED
click,Chrome 63.0.3239.84,,2018-01-05 18:36:42,2018-01-05 18:36:43,0.806s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-05 18:36:43,2018-01-05 18:36:43,0.657s,PASSED
,,,,,,
Test Cases/Test Case 2,Chrome 63.0.3239.84,,2018-01-05 18:36:44,2018-01-05 18:36:52,8.831s,FAILED
openBrowser,Chrome 63.0.3239.84,,2018-01-05 18:36:44,2018-01-05 18:36:48,4.609s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-05 18:36:48,2018-01-05 18:36:52,3.210s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 18:36:52,2018-01-05 18:36:52,0.838s,FAILED
