Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
KatalonGit,Chrome 63.0.3239.84,,2018-01-02 14:26:39,2018-01-02 14:26:57,17.771s,PASSED
,,,,,,
Test Cases/Test Case 2,Chrome 63.0.3239.84,,2018-01-02 14:26:40,2018-01-02 14:26:50,10.080s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-02 14:26:40,2018-01-02 14:26:45,5.005s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-02 14:26:45,2018-01-02 14:26:48,2.490s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 14:26:48,2018-01-02 14:26:48,0.145s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 14:26:48,2018-01-02 14:26:48,0.109s,PASSED
click,Chrome 63.0.3239.84,,2018-01-02 14:26:48,2018-01-02 14:26:48,0.571s,PASSED
selectOptionByValue,Chrome 63.0.3239.84,,2018-01-02 14:26:48,2018-01-02 14:26:49,0.241s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 14:26:49,2018-01-02 14:26:49,0.117s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 14:26:49,2018-01-02 14:26:49,0.099s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 14:26:49,2018-01-02 14:26:49,0.114s,PASSED
click,Chrome 63.0.3239.84,,2018-01-02 14:26:49,2018-01-02 14:26:49,0.066s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-02 14:26:49,2018-01-02 14:26:50,0.640s,PASSED
,,,,,,
Test Cases/Test Case1,Chrome 63.0.3239.84,,2018-01-02 14:26:50,2018-01-02 14:26:57,7.279s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-02 14:26:50,2018-01-02 14:26:53,2.814s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-02 14:26:53,2018-01-02 14:26:56,2.892s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 14:26:56,2018-01-02 14:26:56,0.124s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 14:26:56,2018-01-02 14:26:56,0.116s,PASSED
click,Chrome 63.0.3239.84,,2018-01-02 14:26:56,2018-01-02 14:26:56,0.505s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-02 14:26:56,2018-01-02 14:26:57,0.615s,PASSED
