Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
KatalonGit,Chrome 63.0.3239.84,,2018-01-05 18:01:34,2018-01-05 18:01:52,17.789s,PASSED
,,,,,,
Test Cases/Test Case1,Chrome 63.0.3239.84,,2018-01-05 18:01:34,2018-01-05 18:01:44,9.360s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-05 18:01:35,2018-01-05 18:01:39,4.544s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-05 18:01:39,2018-01-05 18:01:42,2.902s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 18:01:42,2018-01-05 18:01:42,0.125s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 18:01:42,2018-01-05 18:01:42,0.101s,PASSED
click,Chrome 63.0.3239.84,,2018-01-05 18:01:42,2018-01-05 18:01:43,0.473s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-05 18:01:43,2018-01-05 18:01:44,0.665s,PASSED
,,,,,,
Test Cases/Test Case 2,Chrome 63.0.3239.84,,2018-01-05 18:01:44,2018-01-05 18:01:52,8.099s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-05 18:01:44,2018-01-05 18:01:47,2.845s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-05 18:01:47,2018-01-05 18:01:50,2.897s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 18:01:50,2018-01-05 18:01:50,0.134s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 18:01:50,2018-01-05 18:01:50,0.128s,PASSED
click,Chrome 63.0.3239.84,,2018-01-05 18:01:50,2018-01-05 18:01:50,0.521s,PASSED
selectOptionByValue,Chrome 63.0.3239.84,,2018-01-05 18:01:50,2018-01-05 18:01:51,0.276s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 18:01:51,2018-01-05 18:01:51,0.121s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 18:01:51,2018-01-05 18:01:51,0.099s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 18:01:51,2018-01-05 18:01:51,0.098s,PASSED
click,Chrome 63.0.3239.84,,2018-01-05 18:01:51,2018-01-05 18:01:51,0.070s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-05 18:01:51,2018-01-05 18:01:52,0.654s,PASSED
