Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
KatalonGit2,Firefox 54.0,,2018-01-02 16:25:51,2018-01-02 16:26:21,30.368s,PASSED
,,,,,,
Test Cases/Login/Test Case1,Firefox 54.0,,2018-01-02 16:25:51,2018-01-02 16:26:06,14.548s,PASSED
openBrowser,Firefox 54.0,,2018-01-02 16:25:52,2018-01-02 16:26:01,9.841s,PASSED
navigateToUrl,Firefox 54.0,,2018-01-02 16:26:01,2018-01-02 16:26:03,2.026s,PASSED
setText,Firefox 54.0,,2018-01-02 16:26:03,2018-01-02 16:26:04,0.185s,PASSED
setText,Firefox 54.0,,2018-01-02 16:26:04,2018-01-02 16:26:04,0.840s,PASSED
click,Firefox 54.0,,2018-01-02 16:26:04,2018-01-02 16:26:05,0.839s,PASSED
closeBrowser,Firefox 54.0,,2018-01-02 16:26:05,2018-01-02 16:26:06,0.287s,PASSED
,,,,,,
Test Cases/Test Case 2,Firefox 54.0,,2018-01-02 16:26:06,2018-01-02 16:26:21,15.395s,PASSED
openBrowser,Firefox 54.0,,2018-01-02 16:26:06,2018-01-02 16:26:15,9.292s,PASSED
navigateToUrl,Firefox 54.0,,2018-01-02 16:26:15,2018-01-02 16:26:18,2.763s,PASSED
setText,Firefox 54.0,,2018-01-02 16:26:18,2018-01-02 16:26:19,0.966s,PASSED
setText,Firefox 54.0,,2018-01-02 16:26:19,2018-01-02 16:26:19,0.172s,PASSED
click,Firefox 54.0,,2018-01-02 16:26:19,2018-01-02 16:26:20,1.185s,PASSED
selectOptionByValue,Firefox 54.0,,2018-01-02 16:26:20,2018-01-02 16:26:20,0.246s,PASSED
setText,Firefox 54.0,,2018-01-02 16:26:20,2018-01-02 16:26:21,0.090s,PASSED
setText,Firefox 54.0,,2018-01-02 16:26:21,2018-01-02 16:26:21,0.075s,PASSED
setText,Firefox 54.0,,2018-01-02 16:26:21,2018-01-02 16:26:21,0.087s,PASSED
click,Firefox 54.0,,2018-01-02 16:26:21,2018-01-02 16:26:21,0.091s,PASSED
closeBrowser,Firefox 54.0,,2018-01-02 16:26:21,2018-01-02 16:26:21,0.216s,PASSED
