Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
KatalonGit,Chrome 63.0.3239.84,,2018-01-05 18:31:31,2018-01-05 18:32:09,38.142s,PASSED
,,,,,,
Test Cases/Test Case1,Chrome 63.0.3239.84,,2018-01-05 18:31:31,2018-01-05 18:31:45,14.374s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-05 18:31:32,2018-01-05 18:31:38,6.278s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-05 18:31:38,2018-01-05 18:31:44,5.737s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 18:31:44,2018-01-05 18:31:44,0.173s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 18:31:44,2018-01-05 18:31:44,0.130s,PASSED
click,Chrome 63.0.3239.84,,2018-01-05 18:31:44,2018-01-05 18:31:45,0.573s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-05 18:31:45,2018-01-05 18:31:45,0.844s,PASSED
,,,,,,
Test Cases/Test Case 2,Chrome 63.0.3239.84,,2018-01-05 18:31:45,2018-01-05 18:32:09,23.392s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-05 18:31:46,2018-01-05 18:31:49,3.628s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-05 18:31:49,2018-01-05 18:31:53,4.185s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 18:31:53,2018-01-05 18:31:54,0.170s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 18:31:54,2018-01-05 18:31:54,0.142s,PASSED
click,Chrome 63.0.3239.84,,2018-01-05 18:31:54,2018-01-05 18:32:03,8.792s,PASSED
selectOptionByValue,Chrome 63.0.3239.84,,2018-01-05 18:32:03,2018-01-05 18:32:03,0.166s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 18:32:03,2018-01-05 18:32:03,0.092s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 18:32:03,2018-01-05 18:32:03,0.092s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 18:32:03,2018-01-05 18:32:03,0.126s,PASSED
click,Chrome 63.0.3239.84,,2018-01-05 18:32:03,2018-01-05 18:32:08,5.076s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-05 18:32:08,2018-01-05 18:32:09,0.656s,PASSED
