Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
KatalonGit,Chrome 63.0.3239.84,,2018-01-05 18:26:27,2018-01-05 18:26:43,15.881s,PASSED
,,,,,,
Test Cases/Test Case1,Chrome 63.0.3239.84,,2018-01-05 18:26:27,2018-01-05 18:26:36,8.987s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-05 18:26:28,2018-01-05 18:26:32,4.416s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-05 18:26:32,2018-01-05 18:26:35,2.590s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 18:26:35,2018-01-05 18:26:35,0.138s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 18:26:35,2018-01-05 18:26:35,0.103s,PASSED
click,Chrome 63.0.3239.84,,2018-01-05 18:26:35,2018-01-05 18:26:35,0.533s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-05 18:26:35,2018-01-05 18:26:36,0.689s,PASSED
,,,,,,
Test Cases/Test Case 2,Chrome 63.0.3239.84,,2018-01-05 18:26:36,2018-01-05 18:26:43,6.472s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-05 18:26:36,2018-01-05 18:26:38,2.064s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-05 18:26:38,2018-01-05 18:26:41,2.330s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 18:26:41,2018-01-05 18:26:41,0.105s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 18:26:41,2018-01-05 18:26:41,0.101s,PASSED
click,Chrome 63.0.3239.84,,2018-01-05 18:26:41,2018-01-05 18:26:41,0.479s,PASSED
selectOptionByValue,Chrome 63.0.3239.84,,2018-01-05 18:26:41,2018-01-05 18:26:42,0.187s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 18:26:42,2018-01-05 18:26:42,0.098s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 18:26:42,2018-01-05 18:26:42,0.092s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 18:26:42,2018-01-05 18:26:42,0.091s,PASSED
click,Chrome 63.0.3239.84,,2018-01-05 18:26:42,2018-01-05 18:26:42,0.066s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-05 18:26:42,2018-01-05 18:26:43,0.623s,PASSED
