Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
KatalonGit,Chrome 63.0.3239.84,,2018-01-02 16:26:38,2018-01-02 16:26:57,19.135s,PASSED
,,,,,,
Test Cases/Test Case1,Chrome 63.0.3239.84,,2018-01-02 16:26:38,2018-01-02 16:26:49,10.683s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-02 16:26:39,2018-01-02 16:26:44,4.593s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-02 16:26:44,2018-01-02 16:26:47,3.629s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 16:26:47,2018-01-02 16:26:48,0.194s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 16:26:48,2018-01-02 16:26:48,0.126s,PASSED
click,Chrome 63.0.3239.84,,2018-01-02 16:26:48,2018-01-02 16:26:48,0.571s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-02 16:26:48,2018-01-02 16:26:49,0.801s,PASSED
,,,,,,
Test Cases/Test Case 2,Chrome 63.0.3239.84,,2018-01-02 16:26:49,2018-01-02 16:26:57,7.931s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-02 16:26:49,2018-01-02 16:26:52,2.452s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-02 16:26:52,2018-01-02 16:26:55,3.118s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 16:26:55,2018-01-02 16:26:55,0.102s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 16:26:55,2018-01-02 16:26:55,0.155s,PASSED
click,Chrome 63.0.3239.84,,2018-01-02 16:26:55,2018-01-02 16:26:56,0.484s,PASSED
selectOptionByValue,Chrome 63.0.3239.84,,2018-01-02 16:26:56,2018-01-02 16:26:56,0.205s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 16:26:56,2018-01-02 16:26:56,0.107s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 16:26:56,2018-01-02 16:26:56,0.091s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 16:26:56,2018-01-02 16:26:56,0.109s,PASSED
click,Chrome 63.0.3239.84,,2018-01-02 16:26:56,2018-01-02 16:26:56,0.077s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-02 16:26:56,2018-01-02 16:26:57,0.753s,PASSED
