Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
KatalonGit2,Firefox 54.0,,2018-01-02 16:22:28,2018-01-02 16:23:10,42.503s,FAILED
,,,,,,
Test Cases/Login/Test Case1,Firefox 54.0,,2018-01-02 16:22:28,2018-01-02 16:23:08,39.350s,FAILED
openBrowser,Firefox 54.0,,2018-01-02 16:22:29,2018-01-02 16:22:57,28.019s,PASSED
navigateToUrl,Firefox 54.0,,2018-01-02 16:22:57,2018-01-02 16:23:08,10.414s,FAILED
,,,,,,
Test Cases/Test Case 2,Firefox 54.0,,2018-01-02 16:23:08,2018-01-02 16:23:10,2.493s,FAILED
openBrowser,Firefox 54.0,,2018-01-02 16:23:08,2018-01-02 16:23:10,2.260s,FAILED
