Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
KatalonGit,Chrome 63.0.3239.84,,2018-01-02 14:28:51,2018-01-02 14:29:10,18.662s,PASSED
,,,,,,
Test Cases/Test Case 2,Chrome 63.0.3239.84,,2018-01-02 14:28:52,2018-01-02 14:29:01,9.612s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-02 14:28:52,2018-01-02 14:28:56,3.800s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-02 14:28:56,2018-01-02 14:28:59,2.934s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 14:28:59,2018-01-02 14:28:59,0.139s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 14:28:59,2018-01-02 14:28:59,0.116s,PASSED
click,Chrome 63.0.3239.84,,2018-01-02 14:28:59,2018-01-02 14:29:00,0.607s,PASSED
selectOptionByValue,Chrome 63.0.3239.84,,2018-01-02 14:29:00,2018-01-02 14:29:00,0.288s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 14:29:00,2018-01-02 14:29:00,0.122s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 14:29:00,2018-01-02 14:29:00,0.103s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 14:29:00,2018-01-02 14:29:00,0.108s,PASSED
click,Chrome 63.0.3239.84,,2018-01-02 14:29:00,2018-01-02 14:29:00,0.067s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-02 14:29:00,2018-01-02 14:29:01,0.763s,PASSED
,,,,,,
Test Cases/Test Case1,Chrome 63.0.3239.84,,2018-01-02 14:29:01,2018-01-02 14:29:10,8.591s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-02 14:29:01,2018-01-02 14:29:05,3.437s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-02 14:29:05,2018-01-02 14:29:08,3.403s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 14:29:08,2018-01-02 14:29:08,0.118s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 14:29:08,2018-01-02 14:29:08,0.134s,PASSED
click,Chrome 63.0.3239.84,,2018-01-02 14:29:08,2018-01-02 14:29:09,0.664s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-02 14:29:09,2018-01-02 14:29:10,0.631s,PASSED
