Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
KatalonGit,Chrome 63.0.3239.84,,2018-01-05 17:56:36,2018-01-05 17:57:01,25.239s,PASSED
,,,,,,
Test Cases/Test Case1,Chrome 63.0.3239.84,,2018-01-05 17:56:37,2018-01-05 17:56:51,14.013s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-05 17:56:38,2018-01-05 17:56:43,5.896s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-05 17:56:43,2018-01-05 17:56:49,5.704s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 17:56:49,2018-01-05 17:56:49,0.274s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 17:56:49,2018-01-05 17:56:50,0.115s,PASSED
click,Chrome 63.0.3239.84,,2018-01-05 17:56:50,2018-01-05 17:56:50,0.514s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-05 17:56:50,2018-01-05 17:56:51,0.700s,PASSED
,,,,,,
Test Cases/Test Case 2,Chrome 63.0.3239.84,,2018-01-05 17:56:51,2018-01-05 17:57:01,10.671s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-05 17:56:51,2018-01-05 17:56:54,3.060s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-05 17:56:54,2018-01-05 17:56:59,5.350s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 17:56:59,2018-01-05 17:57:00,0.128s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 17:57:00,2018-01-05 17:57:00,0.096s,PASSED
click,Chrome 63.0.3239.84,,2018-01-05 17:57:00,2018-01-05 17:57:00,0.477s,PASSED
selectOptionByValue,Chrome 63.0.3239.84,,2018-01-05 17:57:00,2018-01-05 17:57:00,0.249s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 17:57:00,2018-01-05 17:57:00,0.098s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 17:57:00,2018-01-05 17:57:01,0.108s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-05 17:57:01,2018-01-05 17:57:01,0.102s,PASSED
click,Chrome 63.0.3239.84,,2018-01-05 17:57:01,2018-01-05 17:57:01,0.068s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-05 17:57:01,2018-01-05 17:57:01,0.716s,PASSED
