Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
KatalonGit,Chrome 63.0.3239.84,,2018-01-02 16:27:21,2018-01-02 16:27:41,20.011s,PASSED
,,,,,,
Test Cases/Test Case1,Chrome 63.0.3239.84,,2018-01-02 16:27:22,2018-01-02 16:27:33,11.134s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-02 16:27:23,2018-01-02 16:27:29,5.432s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-02 16:27:29,2018-01-02 16:27:32,3.098s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 16:27:32,2018-01-02 16:27:32,0.200s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 16:27:32,2018-01-02 16:27:32,0.147s,PASSED
click,Chrome 63.0.3239.84,,2018-01-02 16:27:32,2018-01-02 16:27:33,0.520s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-02 16:27:33,2018-01-02 16:27:33,0.747s,PASSED
,,,,,,
Test Cases/Test Case 2,Chrome 63.0.3239.84,,2018-01-02 16:27:33,2018-01-02 16:27:41,7.638s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-02 16:27:34,2018-01-02 16:27:37,2.904s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-02 16:27:37,2018-01-02 16:27:39,1.966s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 16:27:39,2018-01-02 16:27:39,0.121s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 16:27:39,2018-01-02 16:27:39,0.091s,PASSED
click,Chrome 63.0.3239.84,,2018-01-02 16:27:39,2018-01-02 16:27:40,0.672s,PASSED
selectOptionByValue,Chrome 63.0.3239.84,,2018-01-02 16:27:40,2018-01-02 16:27:40,0.221s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 16:27:40,2018-01-02 16:27:40,0.123s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 16:27:40,2018-01-02 16:27:40,0.140s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 16:27:40,2018-01-02 16:27:40,0.095s,PASSED
click,Chrome 63.0.3239.84,,2018-01-02 16:27:40,2018-01-02 16:27:40,0.064s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-02 16:27:40,2018-01-02 16:27:41,0.807s,PASSED
