Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
KatalonGit,Chrome 63.0.3239.84,,2018-01-02 16:23:32,2018-01-02 16:24:06,33.340s,PASSED
,,,,,,
Test Cases/Test Case1,Chrome 63.0.3239.84,,2018-01-02 16:23:33,2018-01-02 16:23:53,20.746s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-02 16:23:34,2018-01-02 16:23:46,12.080s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-02 16:23:46,2018-01-02 16:23:52,6.195s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 16:23:52,2018-01-02 16:23:52,0.133s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 16:23:52,2018-01-02 16:23:52,0.148s,PASSED
click,Chrome 63.0.3239.84,,2018-01-02 16:23:52,2018-01-02 16:23:53,0.660s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-02 16:23:53,2018-01-02 16:23:53,0.649s,PASSED
,,,,,,
Test Cases/Test Case 2,Chrome 63.0.3239.84,,2018-01-02 16:23:53,2018-01-02 16:24:05,12.013s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-02 16:23:54,2018-01-02 16:23:57,3.504s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-02 16:23:57,2018-01-02 16:24:03,5.445s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 16:24:03,2018-01-02 16:24:03,0.188s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 16:24:03,2018-01-02 16:24:03,0.137s,PASSED
click,Chrome 63.0.3239.84,,2018-01-02 16:24:03,2018-01-02 16:24:04,0.864s,PASSED
selectOptionByValue,Chrome 63.0.3239.84,,2018-01-02 16:24:04,2018-01-02 16:24:04,0.273s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 16:24:04,2018-01-02 16:24:04,0.166s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 16:24:04,2018-01-02 16:24:04,0.176s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 16:24:04,2018-01-02 16:24:05,0.217s,PASSED
click,Chrome 63.0.3239.84,,2018-01-02 16:24:05,2018-01-02 16:24:05,0.093s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-02 16:24:05,2018-01-02 16:24:05,0.698s,PASSED
