Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
KatalonGit,Chrome 63.0.3239.84,,2018-01-02 14:09:56,2018-01-02 14:10:23,27.877s,PASSED
,,,,,,
Test Cases/Test Case 2,Chrome 63.0.3239.84,,2018-01-02 14:09:56,2018-01-02 14:10:14,18.402s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-02 14:09:57,2018-01-02 14:10:05,8.206s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-02 14:10:05,2018-01-02 14:10:12,6.239s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 14:10:12,2018-01-02 14:10:12,0.635s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 14:10:12,2018-01-02 14:10:12,0.106s,PASSED
click,Chrome 63.0.3239.84,,2018-01-02 14:10:12,2018-01-02 14:10:13,0.577s,PASSED
selectOptionByValue,Chrome 63.0.3239.84,,2018-01-02 14:10:13,2018-01-02 14:10:13,0.261s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 14:10:13,2018-01-02 14:10:13,0.141s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 14:10:13,2018-01-02 14:10:13,0.114s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 14:10:13,2018-01-02 14:10:14,0.137s,PASSED
click,Chrome 63.0.3239.84,,2018-01-02 14:10:14,2018-01-02 14:10:14,0.074s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-02 14:10:14,2018-01-02 14:10:14,0.698s,PASSED
,,,,,,
Test Cases/Test Case1,Chrome 63.0.3239.84,,2018-01-02 14:10:14,2018-01-02 14:10:23,8.946s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-02 14:10:15,2018-01-02 14:10:19,3.950s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-02 14:10:19,2018-01-02 14:10:21,2.587s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 14:10:21,2018-01-02 14:10:21,0.120s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 14:10:21,2018-01-02 14:10:21,0.115s,PASSED
click,Chrome 63.0.3239.84,,2018-01-02 14:10:21,2018-01-02 14:10:23,1.129s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-02 14:10:23,2018-01-02 14:10:23,0.831s,PASSED
