Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
KatalonGit,Chrome 63.0.3239.84,,2018-01-02 14:25:12,2018-01-02 14:25:32,20.618s,PASSED
,,,,,,
Test Cases/Test Case 2,Chrome 63.0.3239.84,,2018-01-02 14:25:12,2018-01-02 14:25:24,11.762s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-02 14:25:13,2018-01-02 14:25:18,5.037s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-02 14:25:18,2018-01-02 14:25:21,3.592s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 14:25:21,2018-01-02 14:25:21,0.172s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 14:25:21,2018-01-02 14:25:22,0.142s,PASSED
click,Chrome 63.0.3239.84,,2018-01-02 14:25:22,2018-01-02 14:25:22,0.567s,PASSED
selectOptionByValue,Chrome 63.0.3239.84,,2018-01-02 14:25:22,2018-01-02 14:25:22,0.249s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 14:25:22,2018-01-02 14:25:23,0.149s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 14:25:23,2018-01-02 14:25:23,0.132s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 14:25:23,2018-01-02 14:25:23,0.119s,PASSED
click,Chrome 63.0.3239.84,,2018-01-02 14:25:23,2018-01-02 14:25:23,0.167s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-02 14:25:23,2018-01-02 14:25:24,0.811s,PASSED
,,,,,,
Test Cases/Test Case1,Chrome 63.0.3239.84,,2018-01-02 14:25:24,2018-01-02 14:25:32,8.403s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-02 14:25:24,2018-01-02 14:25:28,3.769s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-02 14:25:28,2018-01-02 14:25:30,2.298s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 14:25:30,2018-01-02 14:25:30,0.191s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 14:25:30,2018-01-02 14:25:31,0.118s,PASSED
click,Chrome 63.0.3239.84,,2018-01-02 14:25:31,2018-01-02 14:25:31,0.983s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-02 14:25:31,2018-01-02 14:25:32,0.809s,PASSED
