Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
KatalonGit,Chrome 63.0.3239.84,,2018-01-02 14:15:51,2018-01-02 14:16:11,19.655s,PASSED
,,,,,,
Test Cases/Test Case 2,Chrome 63.0.3239.84,,2018-01-02 14:15:52,2018-01-02 14:16:02,10.743s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-02 14:15:52,2018-01-02 14:15:57,4.859s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-02 14:15:57,2018-01-02 14:16:00,3.111s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 14:16:00,2018-01-02 14:16:00,0.181s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 14:16:00,2018-01-02 14:16:00,0.151s,PASSED
click,Chrome 63.0.3239.84,,2018-01-02 14:16:00,2018-01-02 14:16:01,0.535s,PASSED
selectOptionByValue,Chrome 63.0.3239.84,,2018-01-02 14:16:01,2018-01-02 14:16:01,0.227s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 14:16:01,2018-01-02 14:16:01,0.130s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 14:16:01,2018-01-02 14:16:01,0.109s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 14:16:01,2018-01-02 14:16:02,0.112s,PASSED
click,Chrome 63.0.3239.84,,2018-01-02 14:16:02,2018-01-02 14:16:02,0.075s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-02 14:16:02,2018-01-02 14:16:02,0.651s,PASSED
,,,,,,
Test Cases/Test Case1,Chrome 63.0.3239.84,,2018-01-02 14:16:02,2018-01-02 14:16:11,8.533s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-02 14:16:03,2018-01-02 14:16:06,3.866s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-02 14:16:06,2018-01-02 14:16:09,2.811s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 14:16:09,2018-01-02 14:16:09,0.119s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 14:16:09,2018-01-02 14:16:09,0.117s,PASSED
click,Chrome 63.0.3239.84,,2018-01-02 14:16:09,2018-01-02 14:16:10,0.794s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-02 14:16:10,2018-01-02 14:16:11,0.629s,PASSED
